set,k,question,answer,pred,reason,rels
out_of_kb,1,Who won the 2025 AFL Grand Final?,,"UNANSWERED (The context provides information about a past Heisman Trophy winner, not the 2025 AFL Grand Final winner.)",answered,
out_of_kb,1,What is the official slogan of Apple’s 2024 iPad Pro campaign?,,UNANSWERED (The provided context does not contain information about Apple's 2024 iPad Pro campaign.),answered,
out_of_kb,1,What’s the current exchange rate of AUD to TRY today?,,UNANSWERED (The provided context does not contain information about the exchange rates between Australian dollar and Turkish lira.),answered,
out_of_kb,1,Who is the CEO of OpenAI right now?,,UNANSWERED (The context does not provide information about the CEO of OpenAI.),answered,
out_of_kb,1,When will the next total solar eclipse visible from Melbourne occur?,,UNANSWERED (The provided context does not contain information about upcoming solar eclipses or visibility locations.),answered,
out_of_kb,1,What is the latest macOS version released this month?,,UNANSWERED (The provided context does not contain information about any MacOS versions or software releases.),answered,
out_of_kb,1,What were the medal tallies for the 2024 Paris Paralympics?,,UNANSWERED (The context does not contain information about the medal tallies for the 2024 Paris Paralympics.),answered,
out_of_kb,1,What’s the ticket price for a Zone 1+2 daily pass in Melbourne today?,,UNANSWERED (The provided context does not contain information about ticket prices.),answered,
out_of_kb,1,What is the GPU architecture name used in Nvidia’s Blackwell series?,,UNANSWERED (The provided context does not contain information about the GPU architecture used in Nvidia's Blackwell series.),answered,
out_of_kb,1,Which movie won Best Picture at the 2025 Oscars?,,UNANSWERED (The provided context does not contain information about movie awards or any movies released after 2023.),answered,
out_of_kb,3,Who won the 2025 AFL Grand Final?,,UNANSWERED,model,
out_of_kb,3,What is the official slogan of Apple’s 2024 iPad Pro campaign?,,UNANSWERED (There's no information in the provided context about Apple's 2024 iPad Pro campaign.),answered,
out_of_kb,3,What’s the current exchange rate of AUD to TRY today?,,UNANSWERED (The context does not contain information about Australian Dollar (AUD) to Turkish Lira (TRY) exchange rate.),answered,
out_of_kb,3,Who is the CEO of OpenAI right now?,,UNANSWERED (There is no information in the provided context about the CEO of OpenAI.),answered,
out_of_kb,3,When will the next total solar eclipse visible from Melbourne occur?,,UNANSWERED (The provided context does not contain information about the date of the next total solar eclipse visible from Melbourne.),answered,
out_of_kb,3,What is the latest macOS version released this month?,,UNANSWERED,model,
out_of_kb,3,What were the medal tallies for the 2024 Paris Paralympics?,,UNANSWERED (The provided context does not contain information about the medal tallies for the 2024 Paris Paralympics.),answered,
out_of_kb,3,What’s the ticket price for a Zone 1+2 daily pass in Melbourne today?,,UNANSWERED,model,
out_of_kb,3,What is the GPU architecture name used in Nvidia’s Blackwell series?,,UNANSWERED,model,
out_of_kb,3,Which movie won Best Picture at the 2025 Oscars?,,UNANSWERED (The provided context does not contain information about which movie won Best Picture at the 2025 Oscars.),answered,
out_of_kb,5,Who won the 2025 AFL Grand Final?,,UNANSWERED (The provided context does not contain information about future events or sports results.),answered,
out_of_kb,5,What is the official slogan of Apple’s 2024 iPad Pro campaign?,,UNANSWERED (As the provided context does not contain any information about Apple's 2024 iPad Pro campaign.),answered,
out_of_kb,5,What’s the current exchange rate of AUD to TRY today?,,UNANSWERED,model,
out_of_kb,5,Who is the CEO of OpenAI right now?,,UNANSWERED (The provided context does not contain information about the CEO of OpenAI.),answered,
out_of_kb,5,When will the next total solar eclipse visible from Melbourne occur?,,UNANSWERED (The context provided does not contain information about when the next total solar eclipse visible from Melbourne will occur.),answered,
out_of_kb,5,What is the latest macOS version released this month?,,UNANSWERED (As the context does not provide any information about the latest MacOS release in the current month.),answered,
out_of_kb,5,What were the medal tallies for the 2024 Paris Paralympics?,,UNANSWERED (The provided context does not contain information about the 2024 Paris Paralympics' medal tallies.),answered,
out_of_kb,5,What’s the ticket price for a Zone 1+2 daily pass in Melbourne today?,,UNANSWERED (No information about this detail is provided in the given context.),answered,
out_of_kb,5,What is the GPU architecture name used in Nvidia’s Blackwell series?,,UNANSWERED (There's no information about GPU architecture names used in Nvidia’s Blackwell series in the provided context.),answered,
out_of_kb,5,Which movie won Best Picture at the 2025 Oscars?,,UNANSWERED (The context does not contain information about the year 2025.),answered,
inferred,1,Which author wrote Pride and Prejudice and in which century did they live?,Jane Austen; 19th century,"UNANSWERED (Wilson, the author mentioned in the context, is not known for writing ""Pride and Prejudice"" and there's no information provided about when Wilson lived.)",,0
inferred,1,Name the capital of France and the river that runs through it.,Paris; Seine,UNANSWERED (There is no information in the provided context about the capital of France or a river running through it.),,0
